id    | role    | slots                          | source                                   | destination                              | 
664   | rider   |                      [7, 8, 9] | (-122.0076783225302, 37.55838612703683) | (-122.12753932143495, 37.467385092625186) | 
665   | driver  |                         [5, 6] | (-121.95614829761296, 37.535130957998334) | (-122.25350318618311, 37.48380612657724) | 
666   | driver  |            [9, 10, 11, 12, 13] | (-121.95334712482565, 37.53346217049403) | (-122.06073748543973, 37.36835941366946) | 
667   | rider   |                        [9, 10] | (-121.93831066375482, 37.502132552347476) | (-122.23050348072371, 37.493594200042445) | 
668   | rider   |                           [11] | (-121.97679500858204, 37.55755005184675) | (-122.09059200477428, 37.380646893027475) | 
669   | driver  |                           [12] | (-121.94316691979569, 37.50657090351398) | (-122.1236307208078, 37.40399176194133) | 
670   | rider   |                      [4, 5, 6] | (-121.95484983726315, 37.532509327701774) | (-122.04396273658719, 37.380753572497156) | 
671   | rider   |                        [9, 10] | (-121.93491536622228, 37.50575744161972) | (-122.09002294116111, 37.38828865109158) | 
672   | rider   |                 [8, 9, 10, 11] | (-121.97706695410878, 37.5561802628607) | (-122.13876724728661, 37.46864837063007) | 
673   | rider   |                         [8, 9] | (-122.0045768400047, 37.55930222185167) | (-122.23335378823958, 37.48906906897934) | 
674   | rider   |           [6, 7, 8, 9, 10, 11] | (-122.01111496657124, 37.55386897782795) | (-122.23574128965842, 37.498888104387454) | 
675   | rider   |                    [9, 10, 11] | (-121.95649140106455, 37.53688867144399) | (-122.21355715873139, 37.466609535696016) | 
676   | driver  |                         [7, 8] | (-121.9522177720656, 37.532023064307104) | (-122.23539964979422, 37.48188217866827) | 
677   | rider   |                         [3, 4] | (-121.94653643620433, 37.533599176699376) | (-122.17399986866288, 37.43958642947363) | 
678   | rider   |                         [7, 8] | (-121.97445032102424, 37.552096679309514) | (-122.12291589987134, 37.433988756583304) | 
679   | rider   |                      [3, 4, 5] | (-121.93734689130287, 37.49717624594452) | (-122.13935439763934, 37.44317569588493) | 
680   | driver  |        [9, 10, 11, 12, 13, 14] | (-121.977799898975, 37.55941993948604) | (-122.12571519927225, 37.47909820486205) | 
681   | rider   |                       [10, 11] | (-121.95316680018257, 37.532308815593) | (-122.23509612939003, 37.48849570028261) | 
682   | rider   |                   [11, 12, 13] | (-121.93682630135238, 37.50061080463503) | (-122.13866910435438, 37.46530594729744) | 
683   | driver  |                      [6, 7, 8] | (-121.97641295983918, 37.56271569876201) | (-122.08420734088172, 37.415572233108435) | 
684   | driver  |                         [8, 9] | (-122.0067553824493, 37.554734356929956) | (-122.06482481272809, 37.35691985130388) | 
685   | driver  |                         [8, 9] | (-121.93907635448726, 37.505105123048054) | (-122.2405858599299, 37.476492963198716) | 
686   | rider   |                        [9, 10] | (-122.00936713783936, 37.56090123577132) | (-122.26387102919657, 37.49774648568115) | 
687   | rider   |                      [7, 8, 9] | (-122.00426694352167, 37.56000697787948) | (-122.22098411718163, 37.50407493546049) | 
688   | rider   |                            [7] | (-121.95316913959657, 37.53229584349744) | (-122.14852397864966, 37.46639487815938) | 
689   | driver  |                   [10, 11, 12] | (-122.00648125020538, 37.558348691955125) | (-122.22808196878887, 37.47050577848424) | 
690   | rider   |                   [11, 12, 13] | (-121.97181063110638, 37.55909209692598) | (-122.14625831316107, 37.466672643293805) | 
691   | driver  |                            [8] | (-121.97719733974125, 37.5580496754817) | (-122.23823640800148, 37.4759402967456) | 
692   | rider   |           [10, 11, 12, 13, 14] | (-122.00958693579764, 37.55883801998461) | (-122.10893960619292, 37.44196707229143) | 
693   | rider   |                      [7, 8, 9] | (-121.94468530851226, 37.50426753941959) | (-122.08154690370341, 37.377449856848294) | 
694   | driver  |                      [5, 6, 7] | (-121.94917322334548, 37.53270082030161) | (-122.14008707244906, 37.47928267928195) | 
695   | driver  |              [7, 8, 9, 10, 11] | (-121.93638850749402, 37.4963795853106) | (-122.13541673505237, 37.46254629316096) | 
696   | driver  |                      [5, 6, 7] | (-121.94129477557941, 37.50775702657522) | (-122.09062921509864, 37.39375434308638) | 
697   | driver  |                   [6, 7, 8, 9] | (-121.97763982116061, 37.552413756962395) | (-122.07806328924876, 37.400548813190795) | 
698   | rider   |                            [5] | (-122.00427150611003, 37.55845524098533) | (-122.21716380857761, 37.482408070751646) | 
699   | driver  |                    [9, 10, 11] | (-121.95434187391771, 37.53250325675066) | (-122.09050732759924, 37.38239458342826) | 
700   | driver  |                         [8, 9] | (-121.95201420855885, 37.530585027474416) | (-122.04585317691291, 37.393570586675544) | 
701   | rider   |                         [6, 7] | (-121.93618183555004, 37.50819853154936) | (-122.08758951354999, 37.366260587451094) | 
702   | rider   |                      [5, 6, 7] | (-121.9761593141641, 37.55579699529889) | (-122.2388583699081, 37.484267915647074) | 
703   | driver  |               [10, 11, 12, 13] | (-121.95492584264599, 37.53072871833378) | (-122.27298718607278, 37.49817624586731) | 
704   | rider   |                      [7, 8, 9] | (-121.93828605780493, 37.501801106008145) | (-122.143488993608, 37.46666801982825) | 
705   | rider   |                    [9, 10, 11] | (-122.00826109115397, 37.56124635466065) | (-122.22392330804921, 37.511832291984646) | 
706   | rider   |                         [8, 9] | (-121.94897684851038, 37.531472124310774) | (-122.07300273600768, 37.407400622661264) | 
707   | driver  |                         [8, 9] | (-121.95070872984917, 37.53002002733188) | (-122.24226397070298, 37.474190787182394) | 
708   | driver  |                            [6] | (-121.94077155281919, 37.508150351498784) | (-122.08459487488874, 37.384504083877616) | 
709   | rider   |               [6, 7, 8, 9, 10] | (-121.93892172626234, 37.50263110278345) | (-122.21369031294073, 37.51815844579692) | 
710   | rider   |                  [7, 8, 9, 10] | (-121.93934656113171, 37.49894516291743) | (-122.11360113450148, 37.406285658740785) | 
711   | driver  |                   [10, 11, 12] | (-122.00724571911722, 37.56061947414312) | (-122.11075348722356, 37.351293723338635) | 
712   | rider   |               [6, 7, 8, 9, 10] | (-122.00622769097085, 37.558474207456314) | (-122.15042271893141, 37.453788230350725) | 
713   | driver  |                   [10, 11, 12] | (-121.95343374613286, 37.532288887049326) | (-122.13332637076951, 37.42737814883809) | 
714   | driver  |            [5, 6, 7, 8, 9, 10] | (-121.94180999970742, 37.49595419248987) | (-122.14189082649547, 37.47533099229548) | 
715   | driver  |                      [7, 8, 9] | (-121.9391567082981, 37.503849440779746) | (-122.08001314792156, 37.35887478605772) | 
716   | rider   |                      [6, 7, 8] | (-122.00299197346418, 37.56115267717352) | (-122.08228575913347, 37.3504027432577) | 
717   | driver  |                  [7, 8, 9, 10] | (-121.9450787975437, 37.49845859139952) | (-122.22909758869027, 37.50430107294466) | 
718   | driver  |                 [8, 9, 10, 11] | (-121.97795296229356, 37.5593233843125) | (-122.16929366249724, 37.47527412792969) | 
719   | rider   |                         [7, 8] | (-122.0020768008319, 37.562518990687096) | (-122.26169397234821, 37.47056820132306) | 
720   | driver  |                         [2, 3] | (-122.00790157511318, 37.55791108706377) | (-122.23848368949356, 37.510904435960214) | 
721   | driver  |               [10, 11, 12, 13] | (-122.01120176515445, 37.56028294859977) | (-122.12830345221016, 37.49314246840994) | 
722   | rider   |                         [7, 8] | (-122.0085486112224, 37.55771609101627) | (-122.04376090409923, 37.389569627558764) | 
723   | driver  |                      [7, 8, 9] | (-121.93646708381479, 37.49702731149303) | (-122.16651699567888, 37.48107308361643) | 
724   | rider   |                         [6, 7] | (-122.00877967111988, 37.55302416932075) | (-122.12099636751755, 37.48865974450352) | 
725   | driver  |                     [8, 9, 10] | (-121.95847996037051, 37.53400775080164) | (-122.25874477626725, 37.501221698315604) | 
726   | rider   |     [8, 9, 10, 11, 12, 13, 14] | (-121.97170598594026, 37.560075761460396) | (-122.24090642072136, 37.51519181597194) | 
727   | driver  |                         [7, 8] | (-121.95254979451079, 37.53165271382167) | (-122.15070667726944, 37.461545436621485) | 
728   | driver  |                      [5, 6, 7] | (-121.97329747824988, 37.5533196935368) | (-122.16070628847133, 37.44655352152955) | 
729   | rider   |                [9, 10, 11, 12] | (-121.93390405290364, 37.49880123505149) | (-122.13314752350036, 37.48848413898868) | 
730   | rider   |                   [6, 7, 8, 9] | (-121.94270296038843, 37.5021032395573) | (-122.27328490190746, 37.489006959579115) | 
731   | driver  |                           [10] | (-121.95589660436887, 37.52747538164974) | (-122.0861155598034, 37.387966707695625) | 
732   | driver  |                     [8, 9, 10] | (-121.93571769721967, 37.500731451437375) | (-122.08458388770538, 37.38544440292038) | 
733   | rider   |                    [9, 10, 11] | (-122.00278185782913, 37.55852789036504) | (-122.22445879471171, 37.469074142278124) | 
734   | driver  |                      [5, 6, 7] | (-121.97485847708775, 37.55292614853524) | (-122.24221080748411, 37.47208049557393) | 
735   | driver  |                   [6, 7, 8, 9] | (-121.98073111449908, 37.556318937257) | (-122.07651638454935, 37.35958788693745) | 
736   | rider   |                         [5, 6] | (-121.93542422207604, 37.503261583086044) | (-122.21637291770577, 37.508679069911196) | 
737   | rider   |                        [9, 10] | (-121.95278098472257, 37.528782605718554) | (-122.08268323883902, 37.39239073463826) | 
738   | driver  |                      [1, 2, 3] | (-121.95287458218127, 37.533278884182366) | (-122.14318629597757, 37.46883165260123) | 
739   | rider   |                      [5, 6, 7] | (-121.95311697444811, 37.53064018699172) | (-122.24027534853374, 37.48767175598092) | 
740   | driver  |                [3, 4, 5, 6, 7] | (-121.95590866460223, 37.52869662907014) | (-122.20719742059138, 37.4595510191934) | 
741   | rider   |                      [6, 7, 8] | (-121.9578926881139, 37.53170660011289) | (-122.26209705115969, 37.51895990920112) | 
742   | rider   |              [7, 8, 9, 10, 11] | (-121.97765064191455, 37.55567764635217) | (-122.08574904098097, 37.39020692973756) | 
743   | driver  |                     [8, 9, 10] | (-122.00689878680411, 37.55934419598008) | (-122.1426380255972, 37.46680000007833) | 
744   | rider   |            [9, 10, 11, 12, 13] | (-121.93928452173743, 37.49738193180635) | (-122.11163334963473, 37.38090137460822) | 
745   | driver  |                    [9, 10, 11] | (-121.93946766705305, 37.50195807035294) | (-122.2438251283274, 37.492618903032316) | 
746   | rider   |             [8, 9, 10, 11, 12] | (-121.97716811171422, 37.55206060932154) | (-122.25562917075267, 37.466667126555954) | 
747   | driver  |               [11, 12, 13, 14] | (-121.9395477954867, 37.50230265443078) | (-122.14737633303488, 37.475457930753684) | 
748   | driver  |                   [5, 6, 7, 8] | (-121.93875909862673, 37.505748365036766) | (-122.09027539342208, 37.38422504885335) | 
749   | rider   |                         [8, 9] | (-121.95282370607644, 37.535779463051526) | (-122.17167672117922, 37.44434201330754) | 
750   | rider   |                    [9, 10, 11] | (-122.01250253222204, 37.557962815093234) | (-122.22403367925305, 37.47824981575263) | 
751   | rider   |                  [7, 8, 9, 10] | (-121.9753437025622, 37.55792688869939) | (-122.10495651699645, 37.38704665652682) | 
752   | driver  |                         [6, 7] | (-122.01314044486158, 37.55881309020598) | (-122.08521141885564, 37.40562197929669) | 
753   | driver  |                [9, 10, 11, 12] | (-121.9347042172036, 37.49821375150877) | (-122.09043619547924, 37.38852297979562) | 
754   | driver  |                         [8, 9] | (-121.93388707714907, 37.50063802798785) | (-122.26121668969576, 37.49813144684656) | 
755   | rider   |                      [7, 8, 9] | (-122.00713282977236, 37.55804934326994) | (-122.07294995930044, 37.37519863828734) | 
756   | rider   |                        [9, 10] | (-121.95109111128157, 37.53923316045457) | (-122.16480447399582, 37.44959178268783) | 
757   | rider   |               [10, 11, 12, 13] | (-121.93593768159043, 37.50389723646648) | (-122.23465639812886, 37.48654853430284) | 
758   | rider   |                         [6, 7] | (-122.0079127339987, 37.558986007640364) | (-122.23801435496985, 37.48743156095301) | 
759   | driver  |  [7, 8, 9, 10, 11, 12, 13, 14] | (-121.95140425004269, 37.52825584339763) | (-122.08825636134218, 37.36743554205527) | 
760   | driver  |               [11, 12, 13, 14] | (-121.97680077358622, 37.556879348100466) | (-122.25183180137688, 37.46834939664663) | 
761   | driver  |                            [7] | (-122.00375976167597, 37.55887449364921) | (-122.13162668336403, 37.46371098177766) | 
